sample_id,sample_num,category,shap_features,lime_features,overlap_count,agreement_score,prediction_proba,local_r2,is_native_lime
3971,0,tp,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|IsDomainIP <= 0.00|LineOfCode > 0.26|NoOfOtherSpecialCharsInURL <= 0.00|NoOfAmpersandInURL <= 0.00,0,0.0,1.0,0.213225,True
36372,1,tp,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|ObfuscationRatio <= 0.00|NoOfAmpersandInURL <= 0.00|0.00 < LineOfCode <= 0.26|NoOfEqualsInURL <= 0.00,0,0.0,0.999996,0.171613,True
4147,2,tp,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|LineOfCode > 0.26|HasObfuscation <= 0.00|NoOfExternalRef > 0.49|NoOfEqualsInURL <= 0.00,0,0.0,1.0,0.232053,True
30744,3,tp,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|DomainLength > 0.45|NoOfAmpersandInURL <= 0.00|0.00 < LineOfCode <= 0.26|NoOfEqualsInURL <= 0.00,0,0.0,0.999999,0.229536,True
20604,4,tp,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL > 0.00|LetterRatioInURL <= -0.53|DomainLength <= -0.55|NoOfAmpersandInURL <= 0.00|NoOfOtherSpecialCharsInURL <= 0.00,0,0.0,0.998416,0.272654,True
20324,5,tp,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|LetterRatioInURL <= -0.53|DomainLength <= -0.55|NoOfObfuscatedChar <= 0.00|ObfuscationRatio <= 0.00,0,0.0,1.0,0.291622,True
32758,6,tp,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|LineOfCode > 0.26|NoOfEqualsInURL <= 0.00|HasObfuscation <= 0.00|TLD_is_gov_edu <= 0.00,0,0.0,0.999998,0.225229,True
4397,7,tp,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|NoOfAmpersandInURL <= 0.00|NoOfOtherSpecialCharsInURL <= 0.00|ObfuscationRatio <= 0.00|HasObfuscation <= 0.00,0,0.0,0.999988,0.149308,True
9346,8,tp,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|IsDomainIP <= 0.00|NoOfObfuscatedChar <= 0.00|ObfuscationRatio <= 0.00|LargestLineLength > 0.54,0,0.0,0.999996,0.178823,True
40392,9,tp,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|LineOfCode > 0.26|NoOfAmpersandInURL <= 0.00|NoOfObfuscatedChar <= 0.00|NoOfOtherSpecialCharsInURL <= 0.00,0,0.0,1.0,0.201537,True
36889,0,tn,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|LetterRatioInURL > 0.47|LineOfCode <= -0.74|NoOfAmpersandInURL <= 0.00|NoOfOtherSpecialCharsInURL <= 0.00,0,0.0,0.0,0.393537,True
18994,1,tn,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|LetterRatioInURL > 0.47|NoOfAmpersandInURL <= 0.00|NoOfOtherSpecialCharsInURL > 1.00|SpacialCharRatioInURL > 0.73,0,0.0,0.0,0.309109,True
17563,2,tn,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,LetterRatioInURL > 0.47|LineOfCode <= -0.74|NoOfDegitsInURL > 0.00|NoOfAmpersandInURL <= 0.00|DomainLength > 0.45,0,0.0,0.0,0.414352,True
30402,3,tn,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|NoOfAmpersandInURL <= 0.00|LineOfCode <= -0.74|ObfuscationRatio <= 0.00|IsDomainIP <= 0.00,0,0.0,0.0,0.256361,True
38769,4,tn,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,LetterRatioInURL > 0.47|NoOfDegitsInURL > 0.00|NoOfAmpersandInURL <= 0.00|DomainLength > 0.45|ObfuscationRatio <= 0.00,0,0.0,0.0,0.287624,True
8738,5,tn,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,LetterRatioInURL > 0.47|NoOfDegitsInURL > 0.00|DomainLength > 0.45|NoOfOtherSpecialCharsInURL > 1.00|IsDomainIP <= 0.00,0,0.0,0.0,0.342229,True
21286,6,tn,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,LetterRatioInURL > 0.47|NoOfDegitsInURL > 0.00|DomainLength > 0.45|NoOfAmpersandInURL <= 0.00|IsDomainIP <= 0.00,0,0.0,2e-06,0.326647,True
23614,7,tn,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|NoOfAmpersandInURL <= 0.00|LetterRatioInURL <= -0.53|ObfuscationRatio <= 0.00|DomainLength <= -0.55,0,0.0,8.8e-05,0.326406,True
25718,8,tn,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|LineOfCode <= -0.74|IsDomainIP <= 0.00|LargestLineLength <= -0.46|NoOfAmpersandInURL <= 0.00,0,0.0,0.0,0.247231,True
43586,9,tn,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL > 0.00|LineOfCode <= -0.74|LetterRatioInURL <= -0.53|NoOfObfuscatedChar <= 0.00|DomainLength <= -0.55,0,0.0,0.0,0.442613,True
30588,0,fn,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfObfuscatedChar <= 0.00|NoOfDegitsInURL <= 0.00|DomainLength <= -0.55|NoOfOtherSpecialCharsInURL <= 0.00|HasExternalFormSubmit <= 0.00,0,0.0,0.883466,0.211393,True
17372,1,fn,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|NoOfAmpersandInURL <= 0.00|DomainLength <= -0.55|LargestLineLength > 0.54|SpacialCharRatioInURL > 0.73,0,0.0,0.626135,0.231595,True
11301,2,fn,LetterRatioInURL|LineOfCode|DomainLength|NoOfSelfRef|NoOfExternalRef,NoOfDegitsInURL <= 0.00|NoOfAmpersandInURL <= 0.00|ObfuscationRatio <= 0.00|HasObfuscation <= 0.00|LargestLineLength <= -0.46,0,0.0,0.874598,0.17042,True
